(41996,one-off)
(42448,yearly,31 year (s))
(33518,yearly,6 year (s))
(19895,monthly,3 year (s))
(55908,monthly,5 year (s))
(8640,monthly,6 year (s))
(35381,yearly,3 year (s))
(34716,daily,1 month (s))
(9035,monthly,4 year (s))
(26644,yearly,5 year (s))
(34652,one-off)
(33429,daily,19day (s))
(5461,yearly,9 year (s))
(25198,monthly,9 month (s))
(31119,monthly,5 year (s))
(20539,one-off)
(46363,daily,13day (s))
(16968,one-off)
(14623,daily,19day (s))
(18147,daily,25day (s))
(29937,monthly,6 year (s))
(28301,monthly,6 year (s))
(39019,one-off)
(26684,daily,1 month (s))
(30734,one-off)
(25048,yearly,20 year (s))
(4620,monthly,4 year (s))
(9485,yearly,19 year (s))
(41393,monthly,4 year (s))
(56193,monthly,3 year (s))
(25792,yearly,5 year (s))
(18082,daily,1 month (s))
(48693,one-off)
(8056,yearly,3 year (s))
(39671,yearly,26 year (s))
(21552,one-off)
(40113,yearly,36 year (s))
(23644,daily,23day (s))
(54369,monthly,7 month (s))
(29804,one-off)
(44256,monthly,5 year (s))
(52161,daily,1 month (s))
(41212,monthly,4 year (s))
(32792,monthly,7 year (s))
(46974,daily,1 month (s))
(10778,daily,10day (s))
(28706,one-off)
(24464,one-off)
(46791,one-off)
(32632,one-off)
(48791,daily,8day (s))
(55453,one-off)
(7188,monthly,7 year (s))
(55200,one-off)
(16159,daily,16day (s))
(49953,monthly,6 year (s))
(9444,daily,22day (s))
(13153,yearly,34 year (s))
(53598,yearly,15 year (s))
(38768,monthly,1 year (s))
(56434,daily,5day (s))
(8401,monthly,6 year (s))
(54280,yearly,18 year (s))
(49461,daily,13day (s))
(26879,monthly,4 year (s))
(34169,yearly,29 year (s))
(9030,monthly,4 year (s))
(24435,monthly,4 year (s))
(24751,yearly,14 year (s))
(21650,one-off)
(15182,monthly,2 year (s))
(32789,yearly,6 year (s))
(39597,one-off)
(40135,daily,1 month (s))
(12478,daily,1 month (s))
(19828,monthly,4 year (s))
(43563,one-off)
(23388,daily,22day (s))
(18191,monthly,1 year (s))
(48328,one-off)
(43361,monthly,1 year (s))
(54236,yearly,27 year (s))
(52759,monthly,5 year (s))
(30577,daily,1 month (s))
(32067,one-off)
(14060,daily,8day (s))
(42914,daily,5day (s))
(31671,daily,18day (s))
(41828,daily,1 month (s))
(25415,yearly,26 year (s))
(47033,yearly,39 year (s))
(36397,monthly,2 year (s))
(32238,one-off)
(11419,one-off)
(3247,yearly,15 year (s))
(25802,yearly,3 year (s))
(38714,one-off)
(15297,one-off)
(11053,monthly,4 year (s))
(18964,monthly,2 year (s))
(49653,monthly,4 year (s))
(33841,daily,1 month (s))
(43580,daily,21day (s))
(27579,daily,15day (s))
(35930,daily,0 month (s))
(7710,monthly,2 year (s))
(46231,yearly,22 year (s))
(25257,monthly,2 year (s))
(44769,monthly,8 month (s))
(44346,monthly,2 year (s))
(35746,yearly,20 year (s))
(19513,monthly,4 month (s))
(9498,monthly,7 year (s))
(23220,monthly,7 year (s))
(22948,one-off)
(55277,daily,1 month (s))
(10637,one-off)
(12189,monthly,6 year (s))
(8122,yearly,44 year (s))
(57866,daily,10day (s))
(54677,monthly,7 year (s))
(5008,yearly,21 year (s))
(53975,daily,0 month (s))
(9532,yearly,6 year (s))
(40349,monthly,5 year (s))
(23110,daily,16day (s))
(40878,yearly,16 year (s))
(29948,daily,1 month (s))
(44866,daily,1 month (s))
(36250,daily,9day (s))
(21973,yearly,42 year (s))
(37413,monthly,3 year (s))
(51963,yearly,5 year (s))
(37807,daily,1 month (s))
(7479,monthly,1 year (s))
(40742,daily,1 month (s))
(55232,one-off)
(19904,one-off)
(5038,daily,16day (s))
(19219,yearly,10 year (s))
(27437,monthly,2 year (s))
(16245,yearly,18 year (s))
(54122,yearly,28 year (s))
(25388,one-off)
(10021,yearly,5 year (s))
(15957,daily,21day (s))
(4417,one-off)
(22495,monthly,1 year (s))
(55157,yearly,29 year (s))
(57509,one-off)
(26646,yearly,30 year (s))
(4163,daily,14day (s))
(41710,monthly,2 year (s))
(15114,yearly,15 year (s))
(32078,daily,1 month (s))
(7053,daily,1 month (s))
(39500,monthly,3 year (s))
(36814,daily,10day (s))
(4471,yearly,3 year (s))
(35135,one-off)
(38426,yearly,5 year (s))
(16615,monthly,1 year (s))
(32532,one-off)
(5115,daily,5day (s))
(31265,yearly,31 year (s))
(52418,monthly,1 year (s))
(23660,daily,14day (s))
(4871,one-off)
(9388,yearly,5 year (s))
(51725,yearly,31 year (s))
(13622,daily,17day (s))
(36627,yearly,6 year (s))
(27811,yearly,5 year (s))
(29622,monthly,1 year (s))
(46208,yearly,1 year (s))
(27753,daily,25day (s))
(56973,yearly,18 year (s))
(35710,yearly,22 year (s))
(37978,daily,22day (s))
(55813,monthly,3 year (s))
(15936,yearly,30 year (s))
(10143,daily,5day (s))
(38513,yearly,5 month (s))
(37412,one-off)
(11989,one-off)
(30982,monthly,7 year (s))
(39004,monthly,6 year (s))
(9936,monthly,3 month (s))
(50068,one-off)
(40506,one-off)
(53647,monthly,4 year (s))
(15145,daily,25day (s))
(36169,yearly,15 year (s))
(41790,daily,1 month (s))
(37301,one-off)
(23880,daily,1 month (s))
(54160,daily,18day (s))
(49498,monthly,6 year (s))
(43292,one-off)
(56301,one-off)
(25546,yearly,26 year (s))
(31089,monthly,2 year (s))
(17541,monthly,0 year (s))
(14152,daily,0 month (s))
(19500,monthly,4 year (s))
(21954,yearly,17 year (s))
(56440,one-off)
(10687,monthly,5 year (s))
(21013,one-off)
(26989,yearly,5 year (s))
(32528,monthly,3 year (s))
(29917,yearly,23 year (s))
(31245,yearly,25 year (s))
(34303,yearly,18 year (s))
(45556,yearly,21 year (s))
(21151,daily,1 month (s))
(36025,one-off)
(47448,yearly,39 year (s))
(3691,monthly,5 year (s))
(17187,one-off)
(15031,monthly,4 year (s))
(44559,yearly,18 year (s))
(47792,daily,6day (s))
(30138,one-off)
(49257,daily,19day (s))
(55094,monthly,1 year (s))
(47304,yearly,40 year (s))
(28456,monthly,6 year (s))
(16057,yearly,5 year (s))
(31689,daily,10day (s))
(33872,daily,1 month (s))
(10109,daily,1 month (s))
(44441,one-off)
(14955,monthly,2 year (s))
(42125,daily,1 month (s))
(25859,yearly,24 year (s))
(37816,monthly,3 year (s))
(28424,yearly,3 year (s))
(54259,yearly,16 year (s))
(31098,monthly,6 year (s))
(23077,yearly,6 year (s))
(18032,yearly,21 year (s))
(43472,daily,1 month (s))
(29275,daily,0 month (s))
(17560,yearly,31 year (s))
(31694,yearly,9 month (s))
(4857,monthly,3 year (s))
(21362,daily,1 month (s))
(36498,monthly,4 year (s))
(58259,monthly,6 month (s))
(11773,one-off)
(46140,monthly,6 year (s))
(6583,yearly,18 year (s))
(45557,yearly,14 year (s))
(42318,monthly,6 year (s))
(34668,yearly,5 year (s))
(29942,yearly,7 year (s))
(6818,yearly,9 month (s))
(37911,yearly,22 year (s))
(35157,monthly,6 month (s))
(34532,daily,20day (s))
(20572,yearly,32 year (s))
(14180,one-off)
(6360,monthly,7 year (s))
(5836,daily,1 month (s))
(34295,monthly,4 year (s))
(40213,monthly,5 year (s))
(19538,monthly,7 year (s))
(31953,monthly,3 year (s))
(11191,daily,17day (s))
(55519,daily,3day (s))
(47752,yearly,19 year (s))
(10428,yearly,4 year (s))
(4746,yearly,29 year (s))
(3757,monthly,4 year (s))
(7707,daily,1 month (s))
(41420,one-off)
(47455,daily,0 month (s))
(17642,daily,1 month (s))
(18908,monthly,1 year (s))
(3506,monthly,2 year (s))
(16991,monthly,1 year (s))
(56624,monthly,1 year (s))
(26479,one-off)
(54614,daily,9day (s))
(58303,yearly,35 year (s))
(13206,one-off)
(27885,yearly,33 year (s))
(7810,yearly,33 year (s))
(56204,one-off)
(47727,one-off)
(36964,yearly,10 year (s))
(38683,yearly,7 year (s))
(57261,yearly,7 year (s))
(31829,one-off)
(40748,yearly,26 year (s))
(12400,monthly,6 year (s))
(33588,yearly,6 year (s))
(42328,monthly,6 year (s))
(52201,yearly,3 year (s))
(29202,daily,23day (s))
(44983,yearly,3 year (s))
(9260,monthly,6 year (s))
(33374,yearly,24 year (s))
(27596,yearly,7 year (s))
(25304,monthly,5 month (s))
(24509,yearly,23 year (s))
(14779,monthly,1 year (s))
(35954,daily,0 month (s))
(50303,yearly,27 year (s))
(3702,yearly,5 year (s))
(24448,one-off)
(8888,yearly,26 year (s))
(37047,one-off)
(7529,one-off)
(43111,yearly,3 year (s))
(23831,one-off)
(43143,monthly,2 month (s))
(19847,yearly,27 year (s))
(23498,yearly,17 year (s))
(9674,yearly,34 year (s))
(21766,yearly,19 year (s))
(29861,daily,14day (s))
(51512,monthly,2 year (s))
(53878,monthly,7 month (s))
(16616,monthly,9 month (s))
(25583,one-off)
(54782,yearly,15 year (s))
(32005,daily,21day (s))
(50474,daily,1 month (s))
(58341,monthly,3 year (s))
(23290,one-off)
(43890,daily,17day (s))
(53395,monthly,4 year (s))
(14453,monthly,5 year (s))
(29544,monthly,6 year (s))
(13203,yearly,3 year (s))
(50815,monthly,4 year (s))
(35612,yearly,25 year (s))
(28105,yearly,18 year (s))
(47412,one-off)
(15521,yearly,5 year (s))
(56169,daily,1 month (s))
(57799,yearly,1 year (s))
(44660,one-off)
(48374,yearly,16 year (s))
(11531,monthly,2 year (s))
(18682,one-off)
(49877,one-off)
(11453,monthly,3 month (s))
(15270,yearly,21 year (s))
(5286,monthly,3 year (s))
(19142,yearly,31 year (s))
(13752,one-off)
(8892,monthly,2 year (s))
(9446,yearly,29 year (s))
(26951,one-off)
(48764,daily,1 month (s))
(4277,yearly,25 year (s))
(47531,monthly,5 year (s))
(28013,yearly,35 year (s))
(46892,one-off)
(55548,daily,7day (s))
(5958,yearly,18 year (s))
(43025,monthly,3 month (s))
(12213,yearly,4 year (s))
(33697,monthly,3 year (s))
(16185,yearly,36 year (s))
(41198,one-off)
(25316,one-off)
(12977,daily,1 month (s))
(6523,one-off)
(11117,yearly,47 year (s))
(38080,monthly,2 year (s))
(25631,one-off)
(30001,daily,11day (s))
(39195,monthly,4 year (s))
(44123,yearly,22 year (s))
(14533,monthly,6 month (s))
(12127,yearly,41 year (s))
(8296,one-off)
(7356,monthly,4 year (s))
(30179,yearly,20 year (s))
(17138,daily,22day (s))
(41633,yearly,33 year (s))
(32314,one-off)
(3246,monthly,1 year (s))
(13319,monthly,3 year (s))
(47310,daily,16day (s))
(51898,yearly,21 year (s))
(11300,daily,1 month (s))
(38789,monthly,7 year (s))
(23519,daily,22day (s))
(15418,yearly,15 year (s))
(40165,monthly,1 year (s))
(50755,monthly,7 month (s))
(25104,monthly,3 year (s))
(6067,yearly,29 year (s))
(29217,daily,21day (s))
(44987,monthly,5 year (s))
(32423,yearly,5 year (s))
(19714,daily,19day (s))
(37177,daily,1 month (s))
(21984,yearly,21 year (s))
(20453,yearly,17 year (s))
(20072,one-off)
(34539,monthly,4 year (s))
(10064,one-off)
(45814,monthly,7 year (s))
(29731,daily,20day (s))
(51207,monthly,2 year (s))
(16146,yearly,7 year (s))
(47113,yearly,39 year (s))
(56292,daily,1 month (s))
(44181,yearly,8 year (s))
(16898,yearly,11 year (s))
(19279,daily,7day (s))
(49276,yearly,21 year (s))
(6840,yearly,26 year (s))
(45326,daily,1 month (s))
(10756,yearly,18 year (s))
(9130,daily,1 month (s))
(38687,yearly,5 year (s))
(10544,yearly,11 year (s))
(5276,daily,1 month (s))
(6636,one-off)
(37380,monthly,1 year (s))
(35745,yearly,7 year (s))
(30049,yearly,39 year (s))
(27323,one-off)
(40401,daily,1 month (s))
(39610,monthly,7 year (s))
(33552,daily,1 month (s))
(26003,one-off)
(38998,yearly,24 year (s))
(20832,monthly,4 year (s))
(43218,monthly,2 year (s))
(19422,monthly,4 year (s))
(48771,daily,1 month (s))
(53148,one-off)
(55162,daily,1 month (s))
(38816,yearly,34 year (s))
(54652,yearly,24 year (s))
(9723,daily,1 month (s))
(32520,monthly,7 year (s))
